,year,quarter,ticker,close,close_quarter_after,forward_return,size,de,roe,roa
0,2015,1,ACB,2.55,3.27,0.2823529411764707,32.86379271823996,13.772335685566393,0.0,0.0
1,2015,2,ACB,3.27,3.1,-0.051987767584097844,32.875391010980465,14.353217034473047,0.0,0.0
2,2015,3,ACB,3.1,3.16,0.019354838709677358,32.89369528397971,14.298959376648579,0.0,0.0
3,2015,4,ACB,3.16,2.92,-0.07594936708860767,32.936597000581074,14.754160181839481,0.0,0.0
4,2016,1,ACB,2.92,3.03,0.03767123287671237,32.97749918667289,15.016310825990509,0.0833759731,0.0053406894
5,2016,2,ACB,3.03,2.92,-0.0363036303630363,33.032914194820144,15.567580500581142,0.0865370033,0.00543589
6,2016,3,ACB,2.92,3.09,0.05821917808219168,33.06416166225969,15.674915593338394,0.0884817883,0.0054407283
7,2016,4,ACB,3.09,4.3,0.39158576051779925,33.08497752699654,15.61705157097676,0.0987084742,0.0060908237
8,2017,1,ACB,4.3,4.55,0.058139534883721034,33.15860980857082,16.280560237267714,0.1071580731,0.0063812265
9,2017,2,ACB,4.55,5.37,0.18021978021978025,33.21392276297159,16.860525552888692,0.1147888559,0.006703741
10,2017,3,ACB,5.37,6.48,0.2067039106145252,33.230422239832905,16.52302291421571,0.1259378063,0.0072661298
11,2017,4,ACB,6.48,9.01,0.39043209876543195,33.281107844198026,16.735564627371218,0.1407697055,0.0081781593
12,2018,1,ACB,9.01,6.87,-0.23751387347391784,33.334320747368054,16.456519957199227,0.175354782,0.009942003
13,2018,2,ACB,6.87,7.57,0.10189228529839878,33.36749053069614,15.920716865882207,0.0,0.0
14,2018,3,ACB,7.57,6.57,-0.13210039630118886,33.376514524281475,15.02445382366979,0.2456468506,0.0144601155
15,2018,4,ACB,6.57,6.73,0.0243531202435312,33.428091244643895,14.669179921361312,0.2773131377,0.0167426296
16,2019,1,ACB,6.73,6.42,-0.04606240713224374,33.447544683650385,14.002276325203738,0.2638366329,0.0166426907
17,2019,2,ACB,6.42,6.75,0.051401869158878455,33.49163117288085,13.724448884468446,0.256970075,0.0167762405
18,2019,3,ACB,6.75,6.58,-0.0251851851851852,33.512043133571964,13.121225064715937,0.2511064926,0.0169200031
19,2019,4,ACB,6.58,5.14,-0.21884498480243164,33.580398386613794,12.819091695031371,0.2463934246,0.0168617705
20,2020,1,ACB,5.14,6.58,0.2801556420233464,33.590468678413814,12.171196977869682,0.2319699749,0.0166706754
21,2020,2,ACB,6.58,8.44,0.2826747720364742,33.61435373838023,11.868276258986272,0.2172573283,0.0161409759
22,2020,3,ACB,8.44,10.54,0.2488151658767772,33.66829117517913,11.720578451912587,0.2210627295,0.0168493192
23,2020,4,ACB,10.54,12.49,0.1850094876660342,33.72803889412354,11.540286050930199,0.2430753028,0.0185565452
24,2021,1,ACB,12.49,16.74,0.34027221777421923,33.73918974349671,10.851373929967398,0.2517097592353821,0.020190466195344925
25,2021,2,ACB,16.74,14.8,-0.11589008363201903,33.786463833074755,10.670940530449975,0.2644114647,0.0217385162
26,2021,3,ACB,14.8,16.18,0.09324324324324307,33.80336608397621,10.282250169218893,0.2489431803,0.0210856359
27,2021,4,ACB,16.18,15.5,-0.04202719406674904,33.89968159256349,10.754103775493721,0.2390256853,0.0197526392
28,2022,1,ACB,15.5,14.07,-0.09225806451612906,33.90132202983702,9.966802399327864,0.236563115,0.0207412634
29,2022,2,ACB,14.07,13.01,-0.07533759772565751,33.92948628975769,9.443214463572229,0.2507127211,0.0226247951
30,2022,3,ACB,13.01,12.84,-0.013066871637202104,33.96094471748456,9.067577503872764,0.2637300164,0.0245156797
31,2022,4,ACB,12.84,14.66,0.14174454828660443,34.040990688991336,9.401935188010718,0.2649167736,0.0241064619
32,2023,1,ACB,14.66,15.48,0.05593451568894947,34.04648383962404,8.774858630230705,0.2541541819,0.0250189415
33,2023,2,ACB,15.48,15.33,-0.009689922480620172,34.078157661442305,9.035334175394313,0.241404856,0.0239863156
34,2023,3,ACB,15.33,16.77,0.09393346379647749,34.10569844416285,8.704558673887666,0.2379142232,0.0238686591
35,2023,4,ACB,16.77,20.0,0.19260584376863443,34.20859674298546,9.13015085511984,0.2479969029,0.024187983
36,2024,1,ACB,20.0,19.88,-0.006000000000000005,34.22035736918991,8.72443976079817,0.2296713776,0.0232106375
37,2024,2,ACB,19.88,21.51,0.08199195171026163,34.27699427096651,9.290829538153455,0.2285300774,0.0229277307
38,2024,3,ACB,21.51,21.56,0.0023245002324499,34.28696702959722,8.858603861622646,0.2171146112,0.021717062
39,2024,4,ACB,21.56,21.72,0.007421150278293043,34.39260048540526,9.352124755986814,0.2174591984,0.0212152703
40,2015,1,SSI,5.79,6.96,0.20207253886010368,29.932140904933974,0.6884651769845047,0.0,0.0
41,2015,2,SSI,6.96,7.4,0.06321839080459779,30.017739487024034,0.7536111301469739,0.1264528008,0.0736832337
42,2015,3,SSI,7.4,6.99,-0.055405405405405395,30.089886677211286,0.8390970847083179,0.0,0.0
43,2015,4,SSI,6.99,6.65,-0.048640915593705314,30.226087850289897,1.003521228933837,0.0,0.0
44,2016,1,SSI,6.65,6.55,-0.015037593984962516,30.15845466995968,0.8251445896370686,0.1358474063,0.0727756161
45,2016,2,SSI,6.55,7.03,0.07328244274809159,30.234222494363742,0.907867381930516,0.0,0.0
46,2016,3,SSI,7.03,6.46,-0.08108108108108114,30.264009434589116,0.8707099911953431,0.1491299482,0.0783519051
47,2016,4,SSI,6.46,7.87,0.21826625386996912,30.213354586559756,0.8494016151032499,0.126372439,0.0658795128
48,2017,1,SSI,7.87,9.12,0.15883100381194404,30.3366976550593,0.7717140626039279,0.1328406659,0.0719371746
49,2017,2,SSI,9.12,8.26,-0.09429824561403499,30.427718174744538,0.8617875610968962,0.1320573609,0.0718798321
50,2017,3,SSI,8.26,9.89,0.19733656174334158,30.484753432184508,0.9491428262951835,0.1090490268,0.0586400163
51,2017,4,SSI,9.89,13.39,0.3538928210313448,30.562981250431076,1.1777891581731412,0.147360832,0.0726331881
52,2018,1,SSI,13.39,9.78,-0.2696041822255415,30.66950017726539,1.3165802449855075,0.1452734983,0.069949388
53,2018,2,SSI,9.78,11.5,0.17586912065439675,30.65013004213005,1.2377861259141822,0.0,0.0
54,2018,3,SSI,11.5,9.43,-0.18000000000000005,30.78429492357268,1.4613583279804214,0.1589909623,0.0690751386
55,2018,4,SSI,9.43,9.62,0.020148462354188768,30.801782870489507,1.602282625521296,0.1468530811,0.0612787097
56,2019,1,SSI,9.62,8.78,-0.08731808731808732,30.851158046505166,1.671202427833581,0.1170012372,0.0469143979
57,2019,2,SSI,8.78,8.14,-0.07289293849658296,30.935750997276728,1.8710795705027337,0.1040829747,0.0392509142
58,2019,3,SSI,8.14,6.67,-0.1805896805896806,30.876841591248265,1.6412982237897218,0.0919327909,0.0340866797
59,2019,4,SSI,6.67,4.29,-0.3568215892053973,30.928490538398673,1.8767091856874965,0.0979915862,0.0357462568
60,2020,1,SSI,4.29,6.35,0.48018648018648014,30.94518919773737,1.9632718867952859,0.0729097228,0.0257078202
61,2020,2,SSI,6.35,7.73,0.21732283464566948,30.886285555725653,1.644602206147376,0.1070905713,0.0385457743
62,2020,3,SSI,7.73,15.1,0.9534282018111253,30.9243716731487,1.8360954528470992,0.1155882937,0.0408757786
63,2020,4,SSI,15.1,14.48,-0.041059602649006544,31.208117473927597,2.6230389238921075,0.1304744019,0.0400350118
64,2021,1,SSI,14.48,25.57,0.7658839779005524,31.25864461784875,2.2866769662912323,0.16463637351989746,0.05296964570879936
65,2021,2,SSI,25.57,27.58,0.07860774344935462,31.366542102265765,2.676350979107241,0.1648804658,0.0489374701
66,2021,3,SSI,27.58,35.15,0.2744742567077594,31.49392950243838,2.94136859083843,0.1856519358,0.051052656
67,2021,4,SSI,35.15,28.5,-0.18918918918918914,31.55878077932239,2.5719241249135374,0.2237934166,0.0622882035
68,2022,1,SSI,28.5,14.12,-0.504561403508772,31.544671156775934,2.323690627884722,0.2257764255,0.0625737827
69,2022,2,SSI,14.12,14.87,0.05311614730878178,31.398519779515006,2.0119336735354514,0.1959532357,0.0569545356
70,2022,3,SSI,14.87,13.29,-0.10625420309347677,31.44733378364681,1.0502101723588615,0.1448633624,0.0502916674
71,2022,4,SSI,13.29,16.15,0.21519939804364174,31.58660890241708,1.3332138263120212,0.0928489529,0.0329902765
72,2023,1,SSI,16.15,20.14,0.247058823529412,31.595805530412317,1.294409579335359,0.0696979324,0.0292694085
73,2023,2,SSI,20.14,24.83,0.23286991062562046,31.545762082148983,1.2795794013495598,0.0736090454,0.0326540051
74,2023,3,SSI,24.83,25.61,0.03141361256544517,31.64347668338697,1.4345187437510614,0.0899043574,0.038250329
75,2023,4,SSI,25.61,30.06,0.1737602499023818,31.868619012757847,1.9792886939325771,0.1011252049,0.0377512902
76,2024,1,SSI,30.06,26.5,-0.11842980705256145,31.812892919071263,1.7263053077993191,0.1117690297,0.0425379905
77,2024,2,SSI,26.5,27.9,0.05283018867924527,31.89521468055125,1.8626526594161068,0.1205095281,0.0434955215
78,2024,3,SSI,27.9,26.05,-0.06630824372759847,31.823417814398546,1.744422432534832,0.1222226655,0.042979352
79,2024,4,SSI,26.05,26.0,-0.0019193857965451588,31.928405871766042,1.7400849857669776,0.1139103539,0.0397204951
80,2015,1,STB,15.58,15.5,-0.005134788189987138,32.92302743379226,9.622715402313275,0.0,0.0
